time,angle,pwm
0.001,24.17,-255.00
0.002,24.17,132.42
0.002,24.17,132.51
0.002,24.26,93.48
0.002,24.26,128.73
0.003,24.17,167.94
0.003,24.26,93.75
0.003,24.26,129.00
0.003,24.35,89.96
0.003,24.35,125.21
0.004,24.44,86.17
0.004,24.44,121.41
0.004,24.52,82.36
0.004,24.61,78.48
0.004,24.61,113.71
0.005,24.70,74.66
0.005,24.79,70.76
0.005,24.88,66.86
0.006,24.88,102.08
0.006,24.96,63.02
0.006,24.96,98.23
0.006,25.05,59.16
0.007,25.14,55.25
0.007,25.14,90.45
0.007,25.23,51.37
0.007,25.32,-52.55
0.007,25.32,82.65
0.008,25.40,-56.44
0.008,25.40,78.75
0.008,25.49,-60.34
0.008,25.49,74.85
0.008,25.49,74.87
0.009,25.49,74.90
0.009,25.49,74.92
0.009,25.49,74.95
0.009,25.49,74.97
0.010,25.49,75.00
0.010,25.49,75.02
0.010,25.49,75.05
0.010,25.49,75.07
0.010,25.49,75.10
0.011,25.49,75.13
0.011,25.49,75.15
0.011,25.49,75.18
0.011,25.40,114.32
0.012,25.40,79.19
0.012,25.40,79.22
0.012,25.40,79.25
0.012,25.32,118.40
0.013,25.32,83.28
0.013,25.32,83.31
0.013,25.32,83.34
0.014,25.23,122.50
0.014,25.23,87.38
0.015,25.14,126.53
0.016,25.14,91.42
0.016,25.14,91.46
0.016,25.05,130.62
0.016,25.05,95.51
0.016,25.05,95.56
0.017,25.05,95.61
0.017,24.96,134.77
0.017,24.96,99.67
0.018,24.96,99.72
0.018,24.96,99.77
0.018,24.88,138.94
0.018,24.88,103.84
0.018,24.88,103.89
0.019,24.88,103.95
0.019,24.88,104.01
0.019,24.88,104.06
0.019,24.88,104.12
0.020,24.79,143.29
0.020,24.79,108.19
0.020,24.79,108.26
0.020,24.79,108.32
0.020,24.79,108.38
0.021,24.79,108.44
0.021,24.79,108.50
0.021,24.70,147.68
0.022,24.70,112.58
0.022,24.79,73.53
0.022,24.70,147.87
0.022,24.70,112.77
0.022,24.70,112.84
0.023,24.70,112.90
0.023,24.70,112.97
0.023,24.79,73.91
0.023,24.70,148.25
0.024,24.70,113.16
0.024,24.70,113.22
0.024,24.70,113.29
0.024,24.70,113.35
0.025,24.70,113.42
0.025,24.70,113.48
0.025,24.70,113.55
0.025,24.70,113.61
0.025,24.70,113.68
0.026,24.79,74.62
0.026,24.79,109.85
0.026,24.79,109.91
0.026,24.79,109.97
0.027,24.79,110.03
0.027,24.70,149.21
0.027,24.79,74.99
0.027,24.79,110.21
0.027,24.79,110.27
0.028,24.79,110.33
0.028,24.79,110.40
0.028,24.79,110.46
0.028,24.79,110.52
0.028,24.79,110.58
0.029,24.79,110.64
0.029,24.79,110.70
0.029,24.79,110.76
0.029,24.79,110.82
0.029,24.79,110.88
0.030,24.88,71.82
0.030,24.88,107.04
0.030,24.88,107.09
0.030,24.88,107.15
0.031,24.88,107.21
0.031,24.88,107.26
0.031,24.88,107.32
0.031,24.88,107.37
0.031,24.88,107.43
0.032,24.88,107.49
0.032,24.88,107.54
0.032,24.96,68.48
0.032,24.96,103.69
0.032,24.96,103.74
0.033,24.96,103.79
0.033,24.96,103.85
0.033,24.96,103.90
0.033,24.96,103.95
0.034,24.96,104.00
0.034,24.96,104.05
0.034,24.96,104.11
