time,angle,pwm
0.002,24.00,-255.00
0.002,24.00,-255.00
0.002,24.00,140.35
0.003,23.91,179.57
0.003,23.91,144.51
0.003,23.73,222.86
0.003,23.82,113.53
0.004,23.73,187.92
0.004,24.00,-64.49
0.004,23.91,180.21
0.004,24.08,66.92
0.005,24.00,176.45
0.005,24.08,102.27
0.005,24.17,98.41
0.005,24.26,94.54
0.006,24.35,90.67
0.006,24.35,125.91
0.006,24.44,86.87
0.007,24.52,82.99
0.007,24.61,79.11
0.007,24.61,114.34
0.008,24.70,75.29
0.008,24.79,71.39
0.008,24.79,106.61
0.008,24.88,67.55
0.009,24.88,102.77
0.009,24.96,63.70
0.009,24.96,98.92
0.010,24.96,98.97
0.010,25.05,59.90
0.010,25.05,95.11
0.010,25.05,95.15
0.011,25.05,95.20
0.011,25.05,95.25
0.011,25.14,56.18
0.012,25.05,130.50
0.012,25.14,56.27
0.012,25.05,130.59
0.012,25.05,95.48
0.013,25.05,95.53
0.013,25.05,95.57
0.013,25.05,95.62
0.013,24.96,134.79
0.014,24.96,99.68
0.014,24.96,99.73
0.014,24.88,138.90
0.015,24.88,103.80
0.015,24.88,103.86
0.015,24.88,103.91
0.016,24.88,103.97
0.016,24.79,143.14
0.017,24.79,108.04
0.017,24.79,108.11
0.017,24.79,108.17
0.017,24.70,147.35
0.018,24.70,112.25
0.018,24.70,112.32
0.018,24.61,151.50
0.019,24.61,116.41
0.019,24.61,116.48
0.019,24.61,116.55
0.019,24.61,116.62
0.020,24.61,116.69
0.020,24.52,155.88
0.020,24.52,120.79
0.020,24.52,120.86
0.021,24.52,120.94
0.021,24.52,121.01
0.021,24.52,121.09
0.022,24.52,121.16
0.022,24.52,121.23
0.022,24.52,121.31
0.022,24.52,121.38
0.023,24.52,121.46
0.023,24.52,121.53
0.023,24.52,121.60
0.023,24.61,82.56
0.024,24.52,156.91
0.024,24.61,82.70
0.024,24.61,117.93
0.024,24.61,118.00
0.025,24.61,118.07
0.025,24.61,118.14
0.025,24.61,118.21
0.025,24.70,79.16
0.026,24.70,114.38
0.026,24.70,114.45
0.026,24.70,114.51
0.027,24.70,114.58
0.027,24.79,75.52
0.027,24.79,110.74
0.027,24.79,110.80
0.028,24.79,110.86
0.028,24.79,110.92
0.028,24.88,71.86
0.028,24.88,107.08
0.028,24.88,107.14
0.029,24.88,107.19
0.029,24.88,107.25
0.029,24.88,107.31
0.029,24.88,107.36
0.030,24.88,107.42
0.030,24.88,107.47
0.030,24.88,107.53
0.030,24.88,107.59
0.031,24.88,107.64
0.031,24.88,107.70
0.031,24.88,107.76
0.031,24.88,107.81
0.032,24.88,107.87
0.032,24.88,107.92
0.032,24.88,107.98
0.032,24.88,108.04
0.033,24.88,108.09
0.033,24.88,108.15
0.033,24.88,108.21
0.033,24.88,108.26
0.033,24.88,108.32
0.034,24.88,108.37
0.034,24.88,108.43
0.034,24.88,108.49
0.034,24.88,108.54
0.035,24.88,108.60
0.035,24.88,108.66
0.035,24.96,69.59
0.035,24.96,104.80
0.036,24.96,104.85
0.036,24.96,104.91
0.036,24.96,104.96
0.036,24.96,105.01
0.037,25.05,65.94
0.037,25.05,101.15
0.037,25.05,101.20
0.037,25.05,101.24
0.037,25.14,62.17
0.038,25.14,97.38
0.038,25.14,97.42
0.038,25.23,58.34
0.038,25.23,93.54
0.039,25.23,93.58
0.039,25.32,54.50
0.039,25.32,89.69
0.039,25.40,50.61
0.039,25.40,85.80
0.040,25.49,-53.29
0.040,25.49,81.89
0.040,25.58,-57.20
0.040,25.58,77.98
0.041,25.58,78.00
0.041,25.67,-61.10
0.041,25.67,74.08
0.041,25.75,-65.03
0.042,25.75,70.15
0.042,25.75,70.16
0.042,25.75,70.17
0.043,25.75,70.18
0.043,25.75,70.19
0.043,25.75,70.21
0.044,25.75,70.22
0.044,25.75,70.23
0.044,25.75,70.24
0.044,25.75,70.26
0.044,25.75,70.27
0.045,25.84,-68.84
0.045,25.84,66.33
0.045,25.84,66.34
0.045,25.84,66.34
0.046,25.84,66.35
0.046,25.84,66.36
0.046,25.84,66.37
0.046,25.84,66.38
0.047,25.84,66.38
0.047,25.84,66.39
0.047,25.84,66.40
0.047,25.84,66.41
0.047,25.84,66.42
0.047,25.84,66.42
0.047,25.84,66.43
0.047,25.84,66.44
0.049,25.84,66.45
0.049,25.84,66.45
0.049,25.84,66.46
0.049,25.84,66.47
0.050,25.84,66.48
0.050,25.93,-72.63
0.050,25.93,62.53
0.051,25.93,62.53
0.051,25.93,62.54
0.051,26.02,-76.58
0.052,26.02,58.58
0.052,26.02,58.58
0.052,26.02,58.58
0.053,26.11,-80.54
0.053,26.11,54.61
0.053,26.11,54.61
0.054,26.11,54.60
0.054,26.11,54.60
0.054,26.11,54.59
0.055,26.11,54.58
0.055,26.11,54.58
