tempo_s,valor
0.009,309.14
0.009,349.93
0.010,320.66
0.010,320.31
0.010,339.91
0.011,351.07
0.011,331.56
0.011,332.17
0.012,319.87
0.012,340.00
0.012,318.90
0.012,322.15
0.012,340.52
0.012,319.34
0.013,309.50
0.013,300.44
0.013,319.69
0.013,350.63
0.013,349.93
0.013,309.94
0.013,340.52
0.014,341.05
0.014,348.79
0.014,359.95
0.014,359.95
0.014,359.95
0.014,0.00
0.014,359.95
0.014,359.95
0.015,359.95
0.015,359.95
0.015,359.95
0.015,359.95
0.015,359.95
0.015,359.95
0.015,359.95
0.015,359.95
0.030,0.00
0.030,340.61
0.030,26.46
0.045,32.79
0.096,206.04
0.146,216.23
0.197,199.80
0.247,210.17
0.297,273.02
0.346,327.60
0.397,352.04
0.445,46.50
0.495,81.31
0.545,76.21
0.596,61.00
0.645,35.42
0.695,8.61
0.746,321.54
0.797,355.47
0.846,21.45
0.896,32.08
0.946,43.95
0.995,62.41
1.046,77.44
1.096,69.79
1.146,58.01
1.196,16.35
1.245,9.58
1.297,357.84
1.346,23.56
1.397,353.36
1.445,7.47
1.498,345.45
1.548,153.03
1.597,265.46
1.648,240.49
1.697,211.58
1.748,157.52
1.798,158.04
1.848,155.06
1.898,147.50
1.948,153.56
1.998,141.78
2.048,141.69
2.098,147.58
2.148,169.03
2.198,152.24
2.248,128.07
2.298,109.35
2.348,101.00
2.397,98.45
2.447,96.78
2.497,88.69
2.547,91.77
2.597,93.97
2.649,102.40
2.699,107.41
2.748,87.99
2.798,60.74
2.848,36.13
2.898,51.77
2.948,72.61
2.998,49.14
3.048,64.17
3.098,98.89
3.149,107.94
3.199,144.33
3.249,182.57
3.299,207.62
3.349,224.41
3.399,217.03
3.450,204.10
3.499,192.50
3.549,156.46
3.599,139.23
3.649,135.72
3.699,171.84
3.750,173.25
3.800,170.70
3.850,172.64
3.900,152.51
3.948,97.66
3.998,76.74
4.048,91.33
4.099,44.74
4.149,53.71
4.199,80.25
4.249,95.72
4.300,105.04
4.350,115.32
4.400,135.54
4.450,133.43
4.500,129.65
4.550,304.31
4.600,289.63
4.650,282.16
4.700,269.85
4.750,264.40
4.800,253.06
4.850,244.54
4.900,233.81
4.951,223.44
